#,ごい,Vocabulary,Type,Meaning
,,きたない,,
277,切手,kitte,Noun,stamp (postage)
,,きって,,
278,こっち,kocchi,Noun,this person or way
,,,,
279,こちら,kochira,Noun,this way; this direction​
280,子供,kodomo,Noun,child
,,こども,,
281,声,koe,Noun,voice
,,こえ,,
282,ここ,koko,Pronoun,here; this place
283,九日,kokonoka,Noun,ninth day of the month / 9 days
,,ここのか,,
284,九つ,kokonotsu,"Noun, Numeric",nine; 9
,,ここのつ,,
285,困る,komaru,"Verb, Godan verb, Intransitive verb",to be troubled
,,こまる,,
286,今晩,konban,Noun,tonight; this evening
,,こんばん,,
287,今月,kongetsu,Noun,this month
,,こんげつ,,
288,こんな,konna,Pre-noun adjectival,such; like this​
289,この,kono,Pre-noun adjectival,this​
290,今週,konshuu,Noun,this week
,,こんしゅう,,
291,コーヒー,koohii,"Noun, Katakana",Coffee
292,コート,kooto,"Noun, Katakana",coat
293,コピー,kopii,"Noun, Suru verb, Katakana",copy; photocopy
294,コップ,koppu,"Noun, Katakana",glass (drinking vessel); tumbler​
295,これ,kore,Pronoun,this
296,答える,kotaeru,"Verb, Ichidan verb, Intransitive verb",to answer
,,こたえる,,
297,言葉,kotoba,Noun,word; words
,,ことば,,
298,今年,kotoshi,Noun,this year
,,ことし,,
299,交番,kouban,Noun,police box
,,こうばん,,
300,紅茶,koucha,Noun,black tea
,,こうちゃ,,
301,公園,kouen,Noun,park
,,こうえん,,
302,交差点,kousaten,Noun,intersection
,,こうさてん,,
303,口,kuchi,Noun,"mouth, opening"
,,くち,,
304,果物,kudamono,Noun,fruit
,,くだもの,,
305,下さい,kudasai,Expression,please
,,ください,,
306,曇り,kumori,Noun,cloudiness; cloudy weather
,,くもり,,
307,曇る,kumoru,"Verb, Godan verb, Intransitive verb","to become cloudy, to become dim"
,,くもる,,
308,国,kuni,Noun,country; state; region
,,くに,,
309,暗い,kurai,"Adjective, い-adjective",dark; gloomy; murky
,,くらい,,
310,クラス,kurasu,"Noun, Katakana",class
311,黒,kuro,Noun,black
,,くろ,,
312,黒い,kuroi,い-adjective,black
,,くろい,,
313,来る,kuru,"Verb, Intransitive verb",to come
,,くる,,
314,車,kuruma,Noun,car; automobile; vehicle
,,くるま,,
315,薬,kusuri,Noun,medicine
,,くすり,,
316,靴,kutsu,Noun,shoes
,,くつ,,
317,靴下,kutsushita,Noun,socks
,,くつした,,
318,去年,kyonen,Noun,last year
,,きょねん,,
319,今日,kyou,"Noun, Temporal noun",today; this day
,,きょう,,
320,兄弟,kyoudai,Noun,siblings; brothers and sisters​; mate
,,きょうだい,,
321,教室,kyoushitsu,Noun,classroom
,,きょうしつ,,
322,九,kyuu,"Noun, Numeric",nine; 9
,,きゅう,,
323,マッチ,macchi,"Noun, Katakana",match
324,町,machi,Noun,town; block; neighborhood
,,まち,,
325,窓,mado,Noun,window
,,まど,,
326,前,mae,"Noun, Suffix",previous; before; in front; ago
,,まえ,,
327,曲がる,magaru,"Verb, Godan verb, Intransitive verb","to turn, to bend"
,,まがる,,
328,毎朝,maiasa,Noun,every morning
,,まいあさ,,
329,毎晩,maiban,Noun,every night
,,まいばん,,
330,毎日,mainichi,Noun,every day
,,まいにち,,
331,毎週,maishuu,Noun,every week
,,まいしゅう,,
332,毎年,maitoshi / mainen,Noun,every year; yearly; annually
,,まいとし / まいねん,,
333,毎月,maitsuki,Noun,every month; monthly
,,まいつき,,
334,万,man,"Noun, Numeric","10,000; ten thousand"
,,まん,,
335,万年筆,mannenhitsu,Noun,fountain pen
,,まんねんひつ,,
336,丸い,marui,"Adjective, い-adjective","round,circular"
,,まるい,,
337,真っ直ぐ,massugu,"Noun, Adjective, な-adjective, Adverb","straight ahead,direct"
,,まっすぐ,,
338,待つ,matsu,"Verb, Godan verb, Intransitive verb, Transitive verb",to wait​
,,まつ,,
339,不味い,mazui,"Adjective, い-adjective",unpleasant
,,まずい,,
340,目,me,Noun,eye
,,め,,
341,メートル,meetoru,"Noun, Katakana",metre; meter
342,眼鏡,megane,Noun,glasses
,,めがね,,
343,道,michi,Noun,road; street
,,みち,,
344,緑,midori,Noun,green
,,みどり,,
345,磨く,migaku,"Verb, Godan verb, Intransitive verb",to polish; to shine; to brush (e.g. teeth)
,,みがく,,
346,右,migi,Noun,right; right hand side
,,みぎ,,
347,短い,mijikai,"Adjective, い-adjective",short
,,みじかい,,
348,三日,mikka,Noun,the third day of the month / 3 days
,,みっか,,
349,耳,mimi,Noun,ear; hearing
,,みみ,,
350,南,minami,Noun,south
,,みなみ,,
351,皆さん,minasan,Noun,everyone
,,みなさん,,
352,みんな,minna,"Noun, Adverb",all; everyone; everybody
353,見る,miru,"Verb, Ichidan verb, Transitive verb",to see; to look; to watch; to view; to observe
,,みる,,
354,店,mise,Noun,store; shop; establishment; restaurant
,,みせ,,
355,見せる,miseru,"Verb, Ichidan verb, Transitive verb",to show; to display
,,みせる,,
356,三つ,mittsu,"Noun, Numeric",three; 3
,,みっつ,,
357,水,mizu,Noun,water; fluid; liquid​
,,みず,,
358,木曜日,mokuyoubi,Noun,Thursday
,,もくようび,,
359,門,mon,Noun,gate
,,もん,,
360,問題,mondai,Noun,problem; question (e.g. on a test)
,,もんだい,,
361,物,mono,Noun,thing
,,もの,,
362,持つ,motsu,"Verb, Godan verb",to hold
,,もつ,,
363,もっと,motto,Adverb,more; longer; further
364,もう一度,mouichido,Expression,once more; again
,,もういちど,,
365,六日,muika,Noun,sixth day of the month / 6 days
,,むいか,,
366,向こう,mukou,Noun,over there
,,むこう,,
367,村,mura,Noun,village
,,むら,,
368,六つ,muttsu,"Noun, Numeric",six; 6
,,むっつ,,
369,難しい,muzukashii,"Adjective, い-adjective",difficult
,,むずかしい,,
370,長い,nagai,"Adjective, い-adjective",long (distance)​; long (time); lengthy.
,,ながい,,
371,ナイフ,naifu,"Noun, Katakana",knife
372,中,naka,Noun,inside; in; within; center
,,なか,,
373,鳴く,naku,"Verb, Godan verb, Intransitive verb",animal noise. to chirp
,,なく,,
374,無くす,nakusu,"Verb, Godan verb, Transitive verb",to lose (something)
,,なくす,,
375,名前,namae,Noun,name; full name; given name
,,なまえ,,
376,七つ,nanatsu,"Noun, Numeric",seven; 7
,,ななつ,,
377,何,nani,"Noun, Pronoun, Prefix",what
,,なに,,
378,七日,nanoka,Noun,seventh day of the month / 7 days
,,なのか,,
379,並べる,naraberu,"Verb, Ichidan verb, Transitive verb","to line up,to set up"
,,ならべる,,
380,並ぶ,narabu,"Verb, Godan verb, Intransitive verb","to line up,to stand in a line"
,,ならぶ,,
381,習う,narau,"Verb, Godan verb, Transitive verb",to be taught; to learn (from a teacher)
,,ならう,,
382,夏,natsu,Noun,summer
,,なつ,,
383,夏休み,natsuyasumi,Noun,summer vacation; summer holiday
,,なつやすみ,,
384,何故,naze,Adverb,why; how
,,なぜ,,
385,猫,neko,Noun,cat
,,ねこ,,
386,ネクタイ,nekutai,"Noun, Katakana",tie; necktie
387,寝る,neru,"Verb, Ichidan verb, Intransitive verb",to sleep; to go to bed; to lie down
,,ねる,,
388,二,ni,"Noun, Numeric",two; 2
,,に,,
389,日曜日,nichiyoubi,Noun,Sunday
,,にちようび,,
390,賑やか,nigiyaka,"Adjective, な-adjective","bustling,busy"
,,にぎやか,,
391,日記,nikki,Noun,diary; journal
,,にっき,,
392,肉,niku,Noun,meat
,,にく,,
393,荷物,nimotsu,Noun,luggage; baggage
,,にもつ,,
394,西,nishi,Noun,west
,,にし,,
395,庭,niwa,Noun,garden
,,にわ,,
396,登る,noboru,"Verb, Godan verb, Intransitive verb",to climb
,,のぼる,,
397,飲み物,nomimono,Noun,drink; beverage
,,のみもの,,
398,飲む,nomu,"Verb, Godan verb, Transitive verb",to drink
,,のむ,,
399,ノート,nooto,"Noun, Katakana",notebook
400,乗る,noru,"Verb, Godan verb, Intransitive verb","to get on (train, plane, bus, ship, etc.)"
,,のる,,
401,脱ぐ,nugu,"Verb, Godan verb, Transitive verb",to take off clothes
,,ぬぐ,,
402,温い,nurui,"Adjective, い-adjective",luke warm
,,ぬるい,,
403,ニュース,nyuusu,"Noun, Katakana",news
404,おばあさん,obaasan,Noun,grandmother
405,伯母さん,obasan,Noun,aunt; old lady
,,おばさん,,
406,お弁当,obentou,Noun,lunch box; Japanese box lunch
,,おべんとう,,
407,覚える,oboeru,"Verb, Ichidan verb, Transitive verb",to remember
,,おぼえる,,
408,お茶,ocha,Noun,tea
,,おちゃ,,
409,お風呂,ofuro,Noun,bath
,,おふろ,,
410,美味しい,oishii,い-adjective,delicious
,,おいしい,,
411,伯父さん,ojisan,Noun,uncle; old man; mister
,,おじさん,,
412,お母さん,okaasan,Noun,mother; mom; mum; ma
,,おかあさん,,
413,お金,okane,Noun,money
,,おかね,,
414,お菓子,okashi,Noun,confections; sweets; candy
,,おかし,,
415,起きる,okiru,"Verb, Ichidan verb, Intransitive verb",to get up; to wake up
,,おきる,,
416,置く,oku,"Verb, Godan verb, Transitive verb",to put; to place​
,,おく,,
417,奥さん,okusan,Noun,wife; your wife; his wife
,,おくさん,,
418,お巡りさん,omawari san,Noun,police officer (friendly term for policeman)
,,おまわりさん,,
419,重い,omoi,い-adjective,heavy
,,おもい,,
420,面白い,omoshiroi,"Adjective, い-adjective",interesting
,,おもしろい,,
421,同じ,onaji,"Noun, Adverb",same
,,おなじ,,
422,お腹,onaka,Noun,stomach
,,おなか,,
423,お姉さん,oneesan,Noun,elder sister; young lady; miss; ma'am
,,おねえさん,,
424,音楽,ongaku,Noun,music
,,おんがく,,
425,お兄さん,oniisan,Noun,older brother; elder brother; young man; buddy
,,おにいさん,,
426,女,onna,"Noun, Prefix",woman; female sex
,,おんな,,
427,女の子,onnanoko,"Noun, Expression",girl; daughter; young women
